"city","lon","lat","tz"
"Quito",-78.4678382,-0.1806532,"America/Guayaquil"
"Kampala",32.5825197,0.3475964,"Africa/Kampala"
"São Tomé",6.613081,0.18636,"Africa/Sao_Tome"
"Libreville",9.4672676,0.4161976,"Africa/Libreville"
"Yaren",166.9210913,-0.5466857,"Pacific/Nauru"
"Nairobi",36.8219462,-1.2920659,"Africa/Nairobi"
"Singapore",103.819836,1.352083,"Asia/Singapore"
"Tarawa",172.9716617,1.4518171,"Pacific/Tarawa"
"Kigali",30.0618851,-1.9440727,"Africa/Kigali"
"Mogadishu",45.3181623,2.0469343,"Africa/Mogadishu"
"Kuala Lumpur",101.686855,3.139003,"Asia/Kuala_Lumpur"
"Putrajaya",101.696445,2.926361,"Asia/Kuala_Lumpur"
"Gitega",29.9246016,-3.4272755,"Africa/Bujumbura"
"Malabo",8.7821344,3.7549606,"Africa/Malabo"
"Yaoundé",11.5020752,3.8480325,"Africa/Douala"
"Malé",73.5093474,4.1754959,"Indian/Maldives"
"Brazzaville",15.2428853,-4.2633597,"Africa/Brazzaville"
"Kinshasa",15.2662931,-4.4419311,"Africa/Kinshasa"
"Bangui",18.5581899,4.3946735,"Africa/Bangui"
"Bogotá",-74.072092,4.7109886,"America/Bogota"
"Victoria",-97.0035982,28.8052674,"America/Chicago"
"Juba",31.57125,4.859363,"Africa/Juba"
"Bandar Seri Begawan",114.939821,4.9030522,"Asia/Brunei"
"Cayenne",-52.3134531,4.92242,"America/Cayenne"
"Accra",-0.1869644,5.6037168,"Africa/Accra"
"Paramaribo",-55.2038278,5.8520355,"America/Paramaribo"
"Lomé",1.2254183,6.1256261,"Africa/Lome"
"Dodoma",35.7516069,-6.162959,"Africa/Dar_es_Salaam"
"Dar es Salaam",39.2083284,-6.792354,"Africa/Dar_es_Salaam"
"Jakarta",106.845599,-6.2087634,"Asia/Jakarta"
"Monrovia",-118.0019482,34.1442616,"America/Los_Angeles"
"Porto-Novo",2.6288523,6.4968574,"Africa/Porto-Novo"
"Cotonou",2.3912362,6.3702928,"Africa/Porto-Novo"
"Georgetown",-77.0722585,38.9076089,"America/New_York"
"Yamoussoukro",-5.2893433,6.8276228,"Africa/Abidjan"
"Abidjan",-4.0082563,5.3599517,"Africa/Abidjan"
"Sri Jayawardenepura Kotte",79.9187142,6.8867616,"Asia/Colombo"
"Colombo",79.861243,6.9270786,"Asia/Colombo"
"Palikir",158.1610274,6.9147118,"Pacific/Pohnpei"
"Majuro",171.266667,7.066667,"Pacific/Majuro"
"Ngerulmud",134.624289,7.5003835,"Pacific/Palau"
"Georgetown",-77.0722585,38.9076089,"America/New_York"
"Freetown",-13.2317225,8.4656765,"Africa/Freetown"
"Funafuti",179.1961926,-8.5211471,"Pacific/Funafuti"
"Dili",125.5603143,-8.5568557,"Asia/Dili"
"Luanda",13.2301756,-8.8146556,"Africa/Luanda"
"Panama City",-85.6602058,30.1588129,"America/Chicago"
"Addis Ababa",38.7577605,8.9806034,"Africa/Addis_Ababa"
"Abuja",7.398574,9.0764785,"Africa/Lagos"
"Honiara",159.9728999,-9.4456381,"Pacific/Guadalcanal"
"Port Moresby",147.1802671,-9.4438004,"Pacific/Port_Moresby"
"Conakry",-13.5784012,9.6411855,"Africa/Conakry"
"San José",-121.8863286,37.3382082,"America/Los_Angeles"
